time,lev,lat,lon,EPV,PHIS,PS,V,T,OMEGA,QL,U,QV,QI,O3
2013-01-04 00:00:00,975.0,39.0,-81.875,8.130471e-07,2375.7097,99516.23,-1.1124314,272.26428,-0.040560465,7.625012e-13,8.281494,0.002643254,2.023555e-15,5.6240296e-08
2013-01-04 00:00:00,975.0,39.0,-81.25,1.6770816e-06,2759.7097,99036.23,-0.3414353,271.80725,-0.16205095,4.3812065e-11,7.62915,0.0026356245,8.726353e-14,5.6691405e-08
2013-01-04 00:00:00,975.0,39.0,-80.625,2.4214412e-06,3755.7097,97740.23,0.86303246,270.3473,-0.17419694,6.5347194e-10,5.914306,0.0028482939,8.6086693e-13,5.657499e-08
2013-01-04 00:00:00,975.0,39.0,-80.0,,6389.7095,94500.23,,,,,,,,
2013-01-04 00:00:00,975.0,39.5,-82.5,4.6985474e-07,2575.7097,99260.23,-0.8761033,270.9137,0.013279218,1.4279067e-10,8.554932,0.0028177763,9.747758e-13,5.392654e-08
2013-01-04 00:00:00,975.0,39.5,-81.875,7.278311e-07,2558.7097,99252.23,-0.43079078,270.88245,0.001157064,4.0495252e-10,8.086182,0.0028196836,1.8705038e-12,5.5003383e-08
2013-01-04 00:00:00,975.0,39.5,-81.25,1.1641557e-06,2759.7097,98972.23,0.10387719,270.901,-0.07718156,5.99357e-10,7.537353,0.0027653242,1.9282353e-12,5.603657e-08
2013-01-04 00:00:00,975.0,39.5,-80.625,2.4214412e-06,3440.7097,98100.23,0.86303246,270.3473,-0.17419694,6.5347194e-10,5.914306,0.0028482939,8.6086693e-13,5.657499e-08
2013-01-04 00:00:00,975.0,39.5,-80.0,,4697.7095,96500.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.0,-82.5,,6277.7095,94844.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.0,-81.875,,6925.7095,94012.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.0,-81.25,,8101.7095,92580.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.0,-80.625,,6499.7095,94428.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.0,-80.0,1.3845977e-08,4623.7095,96684.23,-5.473491,274.39438,0.31657973,0.0,5.761466,0.0023135864,0.0,6.127882e-08
2013-01-04 00:00:00,950.0,37.5,-82.5,1.3794471e-07,4002.7097,97572.23,-2.4988818,273.6854,-0.12238511,0.0,6.3767004,0.0022411072,0.0,5.772815e-08
2013-01-04 00:00:00,950.0,37.5,-81.875,6.4440957e-07,5333.7095,95964.23,-1.487163,272.91586,-0.1732274,0.0,6.1774817,0.00233266,0.0,5.785912e-08
2013-01-04 00:00:00,950.0,37.5,-81.25,,7363.7095,93452.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.5,-80.625,,6665.7095,94220.23,,,,,,,,
2013-01-04 00:00:00,950.0,37.5,-80.0,1.7729309e-07,5505.7095,95596.23,-4.3973193,273.34946,0.4104518,0.0,6.822013,0.0025796616,0.0,5.9125135e-08
2013-01-04 00:00:00,950.0,38.0,-82.5,1.0586348e-08,2934.7097,98908.23,-1.6541551,272.6346,-0.08478745,0.0,8.822013,0.002273532,0.0,5.6825932e-08
2013-01-04 00:00:00,950.0,38.0,-81.875,4.4341851e-07,3838.7097,97756.23,-1.0086473,272.69516,-0.19031724,0.0,7.931388,0.0023011887,0.0,5.7553528e-08
2013-01-04 00:00:00,950.0,38.0,-81.25,6.349217e-07,5387.7095,95860.23,-0.9188036,272.1522,-0.24781236,0.0,6.884513,0.002393695,0.0,5.77136e-08
2013-01-04 00:00:00,950.0,38.0,-80.625,,7809.7095,92868.23,,,,,,,,
2013-01-04 00:00:00,950.0,38.0,-80.0,,7125.7095,93596.23,,,,,,,,
2013-01-04 00:00:00,950.0,38.5,-82.5,-1.1066902e-08,2366.7097,99580.23,-1.7273973,271.65903,-0.040308084,5.918537e-10,10.029044,0.0023927414,1.1133316e-12,5.628751e-08
2013-01-04 00:00:00,950.0,38.5,-81.875,2.5254678e-08,2665.7097,99180.23,-1.2322801,272.32993,-0.16224107,0.0,9.904044,0.0022849762,0.0,5.7087867e-08
2013-01-04 00:00:00,950.0,38.5,-81.25,1.9009877e-07,3425.7097,98188.23,-0.48765123,272.43637,-0.29975328,0.0,9.056388,0.0022687637,0.0,5.7466217e-08
2013-01-04 00:00:00,950.0,38.5,-80.625,2.3713056e-07,5969.7095,95108.23,0.7061964,271.6688,-0.34064683,0.0,9.622794,0.0024480545,0.0,5.7204282e-08
2013-01-04 00:00:00,950.0,38.5,-80.0,,8553.71,91924.23,,,,,,,,
2013-01-04 00:00:00,950.0,39.0,-82.5,2.0132404e-08,2347.7097,99580.23,-1.9852098,270.54282,0.008703148,1.1491466e-09,10.84545,0.0025891983,2.5774938e-12,5.4948735e-08
2013-01-04 00:00:00,950.0,39.0,-81.875,2.8514307e-08,2375.7097,99516.23,-1.5203661,270.96567,-0.056284036,3.1207037e-10,10.8142,0.002496692,8.284484e-13,5.611289e-08
2013-01-04 00:00:00,950.0,39.0,-81.25,6.297324e-08,2759.7097,99036.23,-0.79917467,271.4139,-0.21418199,1.3289537e-08,10.5642,0.0024003708,1.8765434e-11,5.69569e-08
2013-01-04 00:00:00,950.0,39.0,-80.625,2.8881897e-07,3755.7097,97740.23,0.69301283,271.37778,-0.31440172,3.213063e-08,9.849357,0.0024947845,4.2334136e-11,5.7087867e-08
2013-01-04 00:00:00,950.0,39.0,-80.0,,6389.7095,94500.23,,,,,,,,
2013-01-04 00:00:00,950.0,39.5,-82.5,4.5976606e-08,2575.7097,99260.23,-1.690288,269.5533,0.02468673,8.4750354e-08,11.868888,0.0025968277,7.048584e-11,5.3813686e-08
2013-01-04 00:00:00,950.0,39.5,-81.875,6.11106e-08,2558.7097,99252.23,-1.1189989,269.7733,0.008577263,6.53672e-08,11.59545,0.0026168549,2.9001512e-10,5.4584937e-08
2013-01-04 00:00:00,950.0,39.5,-81.25,7.601176e-08,2759.7097,98972.23,-0.27183092,269.9637,-0.083108984,7.485505e-08,11.154044,0.0025777542,2.2521363e-10,5.58073e-08
2013-01-04 00:00:00,950.0,39.5,-80.625,3.3375528e-07,3440.7097,98100.23,0.9550978,270.16928,-0.1890355,9.4471034e-08,10.34545,0.0026511871,1.0902568e-10,5.6622206e-08
2013-01-04 00:00:00,950.0,39.5,-80.0,4.8765634e-07,4697.7095,96500.23,1.6917921,269.89682,-0.22077379,2.3673056e-07,9.509513,0.00277135,1.1675638e-10,5.6694965e-08
2013-01-04 00:00:00,925.0,37.0,-82.5,8.282984e-08,6277.7095,94844.23,-4.0940742,272.5218,-0.11999162,0.0,4.496441,0.0021850748,0.0,5.86746e-08
2013-01-04 00:00:00,925.0,37.0,-81.875,5.633923e-07,6925.7095,94012.23,-3.6038399,271.93585,-0.11576494,0.0,4.1898003,0.002298562,0.0,5.8907432e-08
2013-01-04 00:00:00,925.0,37.0,-81.25,5.1286804e-07,8101.7095,92580.23,-3.6253242,271.71808,-0.12417253,0.0,4.635113,0.0023042841,0.0,5.8761913e-08
2013-01-04 00:00:00,925.0,37.0,-80.625,6.2765355e-07,6499.7095,94428.23,-5.2210274,271.64093,0.3132359,0.0,5.890972,0.0023863001,0.0,5.9853306e-08
2013-01-04 00:00:00,925.0,37.0,-80.0,3.137427e-08,4623.7095,96684.23,-5.9378242,272.08136,0.3736607,0.0,6.717144,0.0023328944,0.0,6.036262e-08
2013-01-04 00:00:00,925.0,37.5,-82.5,2.7361011e-09,4002.7097,97572.23,-2.4641914,271.79816,-0.09975847,0.0,7.6273003,0.0021021052,0.0,5.799066e-08
2013-01-04 00:00:00,925.0,37.5,-81.875,4.133085e-09,5333.7095,95964.23,-3.0159492,271.52667,-0.16238055,0.0,7.107769,0.0021974726,0.0,5.8179836e-08
